,Artist,0
274,Cigarettes After Sex,B
275,Claire Rosinkranz,E
276,Clara La San,D
277,Clean Bandit,B
278,Cleffy,D
279,Clinton Kane,C
280,Clovis Reyes,D
281,CoComelon,E
282,Cochise,A
283,Coco Jones,E
284,Codiciado,E
285,Cody Johnson,D
286,Coi Leray,E
287,Coldplay,D
288,Cole Swindell,D
289,Colouour,E
290,Conan Gray,B
291,Conjunto Rienda Real,D
292,Conkarah,E
293,Connor Price,D
294,Coolio,B
295,Corey Kent,D
296,Coyote Theory,E
297,Crayon,D
298,Crazy Frog,D
299,Creeds,C
300,Creepy Nuts,D
301,Cris Mj,D
302,Curtis Waters,E
303,Cï¿½ï¿½dig,D
304,D Billions,E
305,D Gerrard,D
306,D-Block Europe,D
307,D. Savage,E
308,DAMIEN,E
309,DDG,C
310,DELLAFUENTE,D
311,DENNIS,C
312,DJ Boneng,E
313,DJ Jeeh FDC,D
314,DJ Khaled,S
315,DJ LG PROD,E
316,DJ Luian,C
317,DJ MOIGUS,C
318,DJ Meetch,E
319,DJ RICK 013,C
320,DJ Snake,D
321,DJ TOPO,E
322,DJ Tao,E
323,DJ USUP,D
324,DJ Ws da Igrejinha,E
325,DNCE,B
326,DRAM,E
327,DUSTY LOCANE,C
328,DVRST,E
329,DYSTINCT,D
330,Dadju,D
331,Dafina Zeqiri,E
332,Daft Punk,C
333,Dalex,D
334,Dan + Shay,S
335,Dan Ventura,C
336,DaniLeigh,E
337,Daniel Caesar,A
338,Danilo Stankovic,E
339,Danna Paola,E
340,Danny Ocean,C
341,Darell,C
342,Darius Rucker,E
343,Darshan Raval,E
344,Dasha,D
345,Dave,E
346,David Guetta,B
347,David Jackson,E
348,David Kushner,D
349,David Morris,D
350,Davido,C
351,Dawin,D
352,Daya,D
353,Dayglow,C
354,Dayvi,D
355,Dean Lewis,B
356,Deep Chills,E
357,Dei V,D
358,Dennis Lloyd,B
359,Dermot Kennedy,C
360,Derya Yildirim,E
361,Desiigner,D
362,Destroy Lonely,D
363,Dezko,D
364,Dhee,E
365,Dhruv,E
366,Dhvani Bhanushali,E
367,Diamond Platnumz,D
368,Diane Guerrero,D
369,Dianï¿½,E
370,Diego & Victor Hugo,C
371,Digga D,D
372,Dilaw,C
373,Diler Kharkiya,E
374,Diljit Dosanjh,E
375,Dimitri Vegas & Like Mike,D
376,Diplo,E
377,Dirty Heads,E
378,Disclosure,D
379,Disco Lines,E
380,Disturbed,D
381,Dj Bentoa,D
382,Dj LK da Escï¿½ï¿,E
