,Artist,Average Spotify Streams,Track Counts,Average Spotify Playlist Count,Average Spotify Playlist Reach,Average Spotify Popularity,Average YouTube Views,Average YouTube Likes,Average TikTok Posts,Average TikTok Likes,Average TikTok Views,Average YouTube Playlist Reach,Average Apple Music Playlist Count,Average AirPlay Spins,Average SiriusXM Spins,Average Deezer Playlist Count,Average Deezer Playlist Reach,Average Amazon Playlist Count,Average Pandora Streams,Average Pandora Track Stations,Average Soundcloud Streams,Average Shazam Counts
1263,Muppet DJ,0.0,1,67.0,9593.0,,225116235.0,1646808.0,0.0,0.0,0.0,380345.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1264,Muramatsu Karaoke,3531.0,1,2.0,4.0,,3250879013.0,19819631.0,0.0,0.0,0.0,2025160205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1265,Music Factory,2368578.0,1,1128.0,61944.0,,0.0,0.0,1900000.0,12239089.0,196993859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1266,Mustard,655483017.0,3,145342.33333333334,23826168.666666668,64.33333333333333,263069676.66666666,2174591.6666666665,88741.33333333333,24139599.0,193934531.33333334,23652581.666666668,60.0,672.6666666666666,121.66666666666667,16.666666666666668,83699.0,5.0,122530409.0,79184.0,56110586.333333336,3363385.3333333335
1267,Muti,49630584.0,1,7644.0,1077118.0,,102074133.0,305216.0,38600.0,70954.0,6598274.0,304330982.0,3.0,1611.0,0.0,1.0,716.0,0.0,0.0,0.0,0.0,182499.0
1268,Mvua,104271.0,1,249.0,8585.0,25.0,2457026781.0,0.0,190.0,36666.0,393580.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1881.0
1269,Myke Towers,390220897.8333333,12,60141.583333333336,33966994.25,68.91666666666667,549531062.3333334,2455051.3333333335,1039031.5,65627013.25,820302747.1666666,301404544.5,45.25,19096.5,84.25,19.333333333333332,1528934.5,26.25,20450507.75,6009.0,163942.91666666666,1108747.75
1270,Myles Smith,101173187.5,2,13963.5,94360210.5,87.0,12160853.5,183464.5,953.5,441588.5,6877193.5,42084113.0,74.5,9631.0,7.0,68.5,7756919.5,56.0,1922118.0,427.0,789849.0,156619.5
1271,Myriam Fares,7383901.0,1,4008.0,539281.0,48.0,351810237.0,1815957.0,22200.0,3197303.0,87012540.0,726544.0,1.0,157.0,0.0,1.0,339.0,0.0,0.0,0.0,0.0,299561.0
1272,Mï¿½ï¿½lod,0.0,1,5.0,6700.0,,274862350.0,604907.0,0.0,0.0,0.0,26664062.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
1273,Mï¿½ï¿½ne,536916393.25,8,111641.375,25648906.0,71.14285714285714,161475124.25,2095698.75,1125246.75,268491518.875,2687761234.25,285067162.125,84.25,135432.875,228.75,55.125,984076.625,36.0,14659037.25,13804.625,21864.125,4224461.625
1274,NAMES 51,0.0,1,1.0,2.0,,506047842.0,4334974.0,0.0,0.0,0.0,251180526.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
